entryValidBit, t0, hostName, IP Addr, First Line, t1, t2, t3, (t2 - t1), (t3 - t2)

true, Sat Mar 24 17:12:36 EDT 2012, www.unc.edu, 152.19.240.120, HTTP/1.1 200 OK, 1332623556958, 1332623556965, 1332623556993, 7, 28
true, Sat Mar 24 17:12:36 EDT 2012, www.google.com, 173.194.73.105, HTTP/1.0 200 OK, 1332623557008, 1332623557009, 1332623557085, 1, 76
true, Sat Mar 24 17:12:36 EDT 2012, www.yahoo.com, 98.139.183.24, HTTP/1.0 301 Moved Permanently, 1332623557117, 1332623557119, 1332623557194, 2, 75
true, Sat Mar 24 17:12:36 EDT 2012, www.harvard.edu, 69.172.200.24, HTTP/1.1 404 Not Found, 1332623557194, 1332623557223, 1332623557295, 29, 72
true, Sat Mar 24 17:14:17 EDT 2012, www.unc.edu, 152.19.240.120, HTTP/1.1 200 OK, 1332623657994, 1332623658001, 1332623658012, 7, 11
true, Sat Mar 24 17:14:17 EDT 2012, www.google.com, 173.194.73.106, HTTP/1.0 200 OK, 1332623658028, 1332623658046, 1332623658119, 18, 73
true, Sat Mar 24 17:14:17 EDT 2012, www.yahoo.com, 98.139.183.24, HTTP/1.0 301 Moved Permanently, 1332623658151, 1332623658187, 1332623658260, 36, 73
true, Sat Mar 24 17:14:17 EDT 2012, www.harvard.edu, 69.172.200.24, HTTP/1.1 404 Not Found, 1332623658260, 1332623658261, 1332623658336, 1, 75
true, Sat Mar 24 17:14:19 EDT 2012, www.unc.edu, 152.19.240.120, HTTP/1.1 200 OK, 1332623659604, 1332623659611, 1332623659622, 7, 11
true, Sat Mar 24 17:14:19 EDT 2012, www.google.com, 173.194.73.105, HTTP/1.0 200 OK, 1332623659640, 1332623659657, 1332623659731, 17, 74
true, Sat Mar 24 17:14:19 EDT 2012, www.yahoo.com, 98.139.183.24, HTTP/1.0 301 Moved Permanently, 1332623659763, 1332623659780, 1332623659854, 17, 74
true, Sat Mar 24 17:14:19 EDT 2012, www.harvard.edu, 69.172.200.24, HTTP/1.1 404 Not Found, 1332623659855, 1332623659856, 1332623659947, 1, 91
true, Sat Mar 24 22:18:21 EDT 2012, www.unc.edu, 152.19.240.120, HTTP/1.1 200 OK, 1332641901410, 1332641901417, 1332641901430, 7, 13
true, Sat Mar 24 22:18:21 EDT 2012, www.google.com, 74.125.47.103, HTTP/1.0 200 OK, 1332641901445, 1332641901446, 1332641901501, 1, 55
true, Sat Mar 24 22:18:21 EDT 2012, www.yahoo.com, 98.139.183.24, HTTP/1.0 301 Moved Permanently, 1332641901521, 1332641901583, 1332641901654, 62, 71
true, Sat Mar 24 22:18:21 EDT 2012, www.harvard.edu, 69.172.200.24, HTTP/1.1 404 Not Found, 1332641901654, 1332641901680, 1332641901790, 26, 110
true, Sat Mar 24 22:34:06 EDT 2012, www.unc.edu, 152.19.240.120, HTTP/1.1 200 OK, 1332642846925, 1332642846933, 1332642846945, 8, 12
true, Sat Mar 24 22:34:06 EDT 2012, www.google.com, 74.125.65.106, HTTP/1.0 200 OK, 1332642846960, 1332642846961, 1332642847015, 1, 54
true, Sat Mar 24 22:34:06 EDT 2012, www.yahoo.com, 98.139.183.24, HTTP/1.0 301 Moved Permanently, 1332642847036, 1332642847076, 1332642847145, 40, 69
true, Sat Mar 24 22:34:06 EDT 2012, www.harvard.edu, 69.172.200.24, HTTP/1.1 404 Not Found, 1332642847145, 1332642847227, 1332642847344, 82, 117
true, Sat Mar 24 23:09:35 EDT 2012, www.unc.edu, 152.19.240.120, HTTP/1.1 200 OK, 1332644975250, 1332644975257, 1332644975268, 7, 11
true, Sat Mar 24 23:09:35 EDT 2012, www.google.com, 74.125.45.106, HTTP/1.0 200 OK, 1332644975284, 1332644975285, 1332644975337, 1, 52
true, Sat Mar 24 23:09:35 EDT 2012, www.wikipedia.org, 208.80.154.225, HTTP/1.0 400 Bad Request, 1332644975358, 1332644975361, 1332644975475, 3, 114
